outlet,date,headline,url
NDTV,01/01/24,"पंजाब में PHD प्रोफेसर बना सब्जीवाला, 4 सब्‍जेक्‍ट में मास्‍टर्स, फिर भी अमृतसर में गली-गली बेच रहा सब्जियां",https://ndtv.in/zara-hatke/phd-sabziwala-and-4-master-degree-holder-sandeep-singh-selling-vegetables-on-amritsar-street-in-punjab-struggle-story-4779229
NDTV,01/01/24,"""Shall Continue To Fight..."": Mamata Banerjee On Trinamool Foundation Day",https://www.ndtv.com/india-news/trinamool-congress-foundation-day-mamata-banerjee-no-surrender-to-any-evil-force-4779259
NDTV,01/01/24,"Bigg Boss 17: घर से बाहर होते ही नील भट्ट ने इन 4 को बताया सबसे घटिया कंटेस्टेंट, इसे बताया विनर",https://ndtv.in/television/bigg-boss-17-neil-bhatt-named-ankita-lokhande-and-vicky-jain-as-the-worst-contestant-on-bigg-boss-4779261
NDTV,01/01/24,Waaree Technologies Share Jump 13% To Record After Parent Files IPO Papers,https://www.ndtvprofit.com/buzzing-stocks/waaree-technologies-share-jump-13-to-record-after-parent-files-ipo-papers
NDTV,01/01/24,"Registrations Ongoing For Pariksha Pe Charcha 2024, Check Details",https://www.ndtv.com/education/ppc-2024-registrations-ongoing-for-parisksha-pe-charcha-2024-check-details-4779262
NDTV,01/01/24,"Delhi's New Year Morning Warmer By 3 Degrees Celsius, Air Quality 'Very Poor'",https://www.ndtv.com/delhi-news/delhis-new-year-morning-warmer-by-3-degrees-celsius-air-quality-very-poor-4779266
NDTV,01/01/24,"Kareena Kapoor, Saif Ali Khan And Their Kids Taimur-Jeh Welcome New Year In Style In Switzerland",https://www.ndtv.com/entertainment/kareena-kapoor-saif-ali-khan-and-their-kids-taimur-jeh-welcome-new-year-in-style-in-switzerland-4779268
NDTV,01/01/24,"Sakat Chauth 2024: नए साल में कब है सकट चौथ जानें यहां, इस तरह कर सकते हैं पूजा",https://ndtv.in/faith/sakat-chauth-2024-date-time-and-puja-shubh-muhurt-kab-hai-sakat-chauth-4779269
NDTV,01/01/24,"Google ने कुछ इस अंदाज में मनाया नया साल, नए Doodle से दी शुभकामनाएं",https://hindi.gadgets360.com/internet/google-celebrated-new-year-2024-with-special-doodle-news-4779276
NDTV,01/01/24,"साल 2023 में भारत की टेक्नालॉजी के क्षेत्र में बड़ी जीत, अब 2024 से उम्‍मीदें",https://ndtv.in/india/indias-big-victory-in-the-field-of-technology-in-year-2023-now-eye-on-2024-4779301
NDTV,01/01/24,"ISRO Successfully Launches X-Ray Polarimeter Satellite; Will Study Black Holes, Other Celestial Objects",https://www.gadgets360.com/science/news/isro-launch-x-ray-polarimeter-satellite-xposat-black-hole-mission-insight-4779307
NDTV,01/01/24,"क्या घने कोहरे में मॉर्निंग वॉक करना होता है हैल्दी, यहां जानिए सही बात",https://ndtv.in/lifestyle/is-it-healthy-to-take-a-morning-walk-in-dense-fog-4779311
NDTV,01/01/24,Maharashtra Holidays 2024: Full List Of Public Holidays In The State,https://www.ndtvprofit.com/nation/maharashtra-holidays-2024-full-list-of-public-holidays-in-the-state-npc
NDTV,01/01/24,"New Year In Celebration Jaisalmer: नए साल के जश्न में सराबोर रही स्वर्णनगरी जैसलमेर, राजस्थानी लोक गीतों पर थिरके हजारों सैलानी",https://rajasthan.ndtv.in/rajasthan-news/new-year-in-celebration-jaisalmer-golden-city-drenched-in-new-year-celebrations-thousands-of-tourists-danced-on-rajasthani-folk-songs-4779312
